#Sample-ID	#RAD-id	#Population	#Geography	#Library	#adapters
1_S12800	1	S12800	Transect	Transect	1
2_S3200	2	S3200	Transect	Transect	2
3_S1600	3	S1600	Transect	Transect	3
4_S1600	4	S1600	Transect	Transect	4
5_S12800	5	S12800	Transect	Transect	5
7_N800	7	N800	Transect	Transect	7
8_S3200	8	S3200	Transect	Transect	8
9_N1600	9	N1600	Transect	Transect	9
10_N1600	10	N1600	Transect	Transect	10
11_N400	11	N400	Transect	Transect	11
17_S6400	17	S6400	Transect	Transect	17
20_S6400	20	S6400	Transect	Transect	20
21_N800	21	N800	Transect	Transect	21
22_Hogtomta	22	Hogtomta	East	Transect	22
23_N6400	23	N6400	Transect	Transect	23
24_N3200	24	N3200	Transect	Transect	24
25_S12800	25	S12800	Transect	Transect	25
26_N1600	26	N1600	Transect	Transect	26
27_N400	27	N400	Transect	Transect	27
28_S400	28	S400	Transect	Transect	28
29_N25600	29	N25600	Transect	Transect	29
30_N12800	30	N12800	Transect	Transect	30
31_N6400	31	N6400	Transect	Transect	31
32_N800	32	N800	Transect	Transect	32
33_Svenljunga	33	Svenljunga	West	Transect	33
34_S400	34	S400	Transect	Transect	34
35_N12800	35	N12800	Transect	Transect	35
36_N25600	36	N25600	Transect	Transect	36
37_S400	37	S400	Transect	Transect	37
38_N3200	38	N3200	Transect	Transect	38
40_Boras	40	Boras	West	Transect	40
43_N12800	43	N12800	Transect	Transect	3
44_S6400	44	S6400	Transect	Transect	4
46_S12800	46	S12800	Transect	Transect	6
47_Vaxsjo	47	Vaxsjo	South	Transect	7
48_N800	48	N800	Transect	Transect	8
49_Jonkoping	49	Jonkoping	Center	Transect	9
50_N25600	50	N25600	Transect	Transect	10
51_N6400	51	N6400	Transect	Transect	11
53_Kinda	53	Kinda	East	Transect	13
57_N25600	57	N25600	Transect	Transect	17
58_Levar	58	Levar	Norrbotten	Transect	18
59_N12800	59	N12800	Transect	Transect	19
60_N1600	60	N1600	Transect	Transect	20
